date,tubersem
"Fri, 1 Jan 1982",504
"Fri, 29 Jan 1982",654
"Fri, 26 Feb 1982",704
"Fri, 26 Mar 1982",613
"Fri, 23 Apr 1982",728
"Fri, 21 May 1982",738
"Fri, 18 Jun 1982",587
"Fri, 16 Jul 1982",511
"Fri, 13 Aug 1982",524
"Fri, 10 Sep 1982",535
"Fri, 8 Oct 1982",640
"Fri, 5 Nov 1982",659
"Fri, 3 Dec 1982",564
"Fri, 31 Dec 1982",626
"Fri, 28 Jan 1983",817
"Fri, 25 Feb 1983",891
"Fri, 25 Mar 1983",683
"Fri, 22 Apr 1983",711
"Fri, 20 May 1983",746
"Fri, 17 Jun 1983",628
"Fri, 15 Jul 1983",549
"Fri, 12 Aug 1983",544
"Fri, 9 Sep 1983",590
"Fri, 7 Oct 1983",702
"Fri, 4 Nov 1983",815
"Fri, 2 Dec 1983",685
"Fri, 30 Dec 1983",796
"Fri, 27 Jan 1984",903
"Fri, 24 Feb 1984",912
"Fri, 23 Mar 1984",753
"Fri, 20 Apr 1984",740
"Fri, 18 May 1984",793
"Fri, 15 Jun 1984",772
"Fri, 13 Jul 1984",645
"Fri, 10 Aug 1984",632
"Fri, 7 Sep 1984",799
"Fri, 5 Oct 1984",813
"Fri, 2 Nov 1984",818
"Fri, 30 Nov 1984",702
"Fri, 28 Dec 1984",779
"Fri, 25 Jan 1985",800
"Fri, 22 Feb 1985",879
"Fri, 22 Mar 1985",805
"Fri, 19 Apr 1985",807
"Fri, 17 May 1985",847
"Fri, 14 Jun 1985",846
"Fri, 12 Jul 1985",727
"Fri, 9 Aug 1985",584
"Fri, 6 Sep 1985",713
"Fri, 4 Oct 1985",1036
"Fri, 1 Nov 1985",1070
"Fri, 29 Nov 1985",856
"Fri, 27 Dec 1985",934
"Fri, 24 Jan 1986",1214
"Fri, 21 Feb 1986",1105
"Fri, 21 Mar 1986",1014
"Fri, 18 Apr 1986",1108
"Fri, 16 May 1986",1171
"Fri, 13 Jun 1986",1185
"Fri, 11 Jul 1986",943
"Fri, 8 Aug 1986",718
"Fri, 5 Sep 1986",984
"Fri, 3 Oct 1986",1177
"Fri, 31 Oct 1986",987
"Fri, 28 Nov 1986",928
"Fri, 26 Dec 1986",857
"Fri, 23 Jan 1987",995
"Fri, 20 Feb 1987",911
"Fri, 20 Mar 1987",827
"Fri, 17 Apr 1987",860
"Fri, 15 May 1987",811
"Fri, 12 Jun 1987",699
"Fri, 10 Jul 1987",668
"Fri, 7 Aug 1987",585
"Fri, 4 Sep 1987",611
"Fri, 2 Oct 1987",568
"Fri, 30 Oct 1987",621
"Fri, 27 Nov 1987",455
"Fri, 25 Dec 1987",735
"Fri, 22 Jan 1988",840
"Fri, 19 Feb 1988",770
"Fri, 18 Mar 1988",836
"Fri, 15 Apr 1988",750
"Fri, 13 May 1988",723
"Fri, 10 Jun 1988",668
"Fri, 8 Jul 1988",555
"Fri, 5 Aug 1988",542
"Fri, 2 Sep 1988",555
"Fri, 30 Sep 1988",523
"Fri, 28 Oct 1988",566
"Fri, 25 Nov 1988",459
"Fri, 23 Dec 1988",598
"Fri, 20 Jan 1989",733
"Fri, 17 Feb 1989",645
"Fri, 17 Mar 1989",762
"Fri, 14 Apr 1989",729
"Fri, 12 May 1989",703
"Fri, 9 Jun 1989",625
"Fri, 7 Jul 1989",609
"Fri, 4 Aug 1989",509
"Fri, 1 Sep 1989",528
"Fri, 29 Sep 1989",548
"Fri, 27 Oct 1989",600
"Fri, 24 Nov 1989",468
"Fri, 22 Dec 1989",534
"Fri, 19 Jan 1990",709
"Fri, 16 Feb 1990",698
"Fri, 16 Mar 1990",621
"Fri, 13 Apr 1990",650
"Fri, 11 May 1990",646
"Fri, 8 Jun 1990",676
"Fri, 6 Jul 1990",532
"Fri, 3 Aug 1990",456
"Fri, 31 Aug 1990",551
"Fri, 28 Sep 1990",503
"Fri, 26 Oct 1990",587
"Fri, 23 Nov 1990",448
"Fri, 21 Dec 1990",453
"Fri, 18 Jan 1991",559
"Fri, 15 Feb 1991",620
"Fri, 15 Mar 1991",551
"Fri, 12 Apr 1991",577
"Fri, 10 May 1991",667
"Fri, 7 Jun 1991",625
"Fri, 5 Jul 1991",534
"Fri, 2 Aug 1991",483
"Fri, 30 Aug 1991",525
"Fri, 27 Sep 1991",487
"Fri, 25 Oct 1991",443
"Fri, 22 Nov 1991",495
