LAG,N,ACOV,LACF,ACF,UACF,LPACF,PACF,UPACF,LIACF,IACF,UIACF,WNOISE,UNITROOT,SEASONUR,WN_LP,UR_LP,SUR_LP,ACF_PRB,PACF_PRB,IACF_PRB,ACF_LP,PACF_LP,IACF_LP
0,520,802.9815673,0.000,1,0.000,,1,,,1,,,<.0001,,,.001,,<.0001,<.0001,<.0001,.001,.001,.001
1,519,-27.02146084,-.088,0,0.088,-.088,0,0.088,-.088,.03,0.088,,<.0001,,,.001,,0.4429,0.4429,0.5597,.443,.443,.56
2,518,38.092754499,-.088,.05,0.088,-.088,.05,0.088,-.088,0,0.088,,<.0001,,,.001,,0.2799,0.2904,0.4660,.28,.29,.466
3,517,33.35550506,-.088,.04,0.088,-.088,.04,0.088,-.088,0,0.088,,<.0001,,,.001,,0.3451,0.3073,0.4344,.345,.307,.434
4,516,-7.177311736,-.088,0,0.088,-.088,0,0.088,-.088,0,0.088,0.0991,<.0001,,.099,.001,,0.8393,0.8495,0.2829,.839,.849,.283
5,515,32.427692847,-.088,.04,0.088,-.088,.04,0.088,-.088,0,0.088,0.1670,<.0001,,.167,.001,,0.3596,0.4132,0.4851,.36,.413,.485
6,514,32.301078174,-.088,.04,0.088,-.088,.04,0.088,-.088,0,0.088,0.2183,,,.218,,,0.3622,0.3377,0.2612,.362,.338,.261
7,513,-64.00267529,-.088,-.1,0.088,-.088,-.1,0.088,-.088,.07,0.088,0.0994,,,.099,,,0.0715,0.0665,0.0942,.071,.066,.094
8,512,39.863874281,-.089,.05,0.089,-.088,.04,0.088,-.088,0,0.088,0.1051,,,.105,,,0.2646,0.3896,0.8047,.265,.39,.805
9,511,-26.95784415,-.089,0,0.089,-.088,0,0.088,-.088,.07,0.088,0.1378,,,.138,,,0.4516,0.5499,0.1127,.452,.55,.113
10,510,-62.01812372,-.089,-.1,0.089,-.088,-.1,0.088,-.088,.04,0.088,0.0752,,,.075,,,0.0837,0.0713,0.3397,.084,.071,.34
11,509,29.614130821,-.090,.04,0.090,-.088,.03,0.088,-.088,-.1,0.088,0.0928,,,.093,,,0.4115,0.5203,0.2369,.412,.52,.237
12,508,50.757552508,-.090,.06,0.090,-.088,.08,0.088,-.088,-.1,0.088,0.0726,,,.073,,,0.1598,0.0609,0.0341,.16,.061,.034
13,507,58.032930367,-.090,.07,0.090,-.088,.08,0.088,-.088,-.1,0.088,0.0466,,,.047,,,0.1093,0.0568,0.0141,.109,.057,.014
14,506,38.304461703,-.091,.05,0.091,-.088,.04,0.088,-.088,0,0.088,0.0488,,,.049,,,0.2929,0.4036,0.9062,.293,.404,.906
15,505,2.3485748354,-.091,0,0.091,-.088,.01,0.088,-.088,0,0.088,0.0718,,,.072,,,0.9487,0.8372,0.7418,.949,.837,.742
16,504,-29.06836783,-.091,0,0.091,-.088,-.1,0.088,-.088,.05,0.088,0.0842,,,.084,,,0.4258,0.2446,0.2387,.426,.245,.239
17,503,-2.015385908,-.091,0,0.091,-.088,0,0.088,-.088,.07,0.088,0.1161,,,.116,,,0.9560,0.5046,0.1372,.956,.505,.137
18,502,-31.81261849,-.091,0,0.091,-.088,0,0.088,-.088,0,0.088,0.1271,,,.127,,,0.3840,0.3577,0.7202,.384,.358,.72
19,501,-54.72120193,-.091,-.1,0.091,-.088,-.1,0.088,-.088,.09,0.088,0.0932,,,.093,,,0.1349,0.0833,0.0494,.135,.083,.049
20,500,36.117687673,-.092,.04,0.092,-.088,.04,0.088,-.088,-.1,0.088,0.0963,,,.096,,,0.3258,0.3096,0.1941,.326,.31,.194
21,499,-31.43906041,-.092,0,0.092,-.088,0,0.088,-.088,0,0.088,0.1053,,,.105,,,0.3932,0.7933,0.9724,.393,.793,.972
22,498,-11.21638176,-.092,0,0.092,-.088,0,0.088,-.088,.01,0.088,0.1338,,,.134,,,0.7610,0.9113,0.7566,.761,.911,.757
23,497,20.486956746,-.092,.03,0.092,-.088,.04,0.088,-.088,0,0.088,0.1585,,,.158,,,0.5786,0.4045,0.7826,.579,.405,.783
24,496,-94.14467201,-.092,-.1,0.092,-.088,-.1,0.088,-.088,.08,0.088,0.0386,,,.039,,,0.0107,0.0125,0.0575,.011,.012,.057
25,495,44.543957397,-.093,.06,0.093,-.088,.03,0.088,-.088,0,0.088,0.0349,,,.035,,,0.2332,0.5539,0.6268,.233,.554,.627
26,494,-44.38067188,-.093,-.1,0.093,-.088,-.1,0.088,-.088,.07,0.088,0.0316,,,.032,,,0.2362,0.0728,0.1053,.236,.073,.105
27,493,39.92255545,-.094,.05,0.094,-.088,.06,0.088,-.088,-.1,0.088,0.0310,,,.031,,,0.2879,0.1906,0.0528,.288,.191,.053
28,492,67.755931723,-.094,.08,0.094,-.088,.08,0.088,-.088,0,0.088,0.0163,,,.016,,,0.0719,0.0650,0.2859,.072,.065,.286
29,491,-18.44386616,-.094,0,0.094,-.088,0,0.088,-.088,0,0.088,0.0208,,,.021,,,0.6263,0.9039,0.6262,.626,.904,.626
30,490,-43.76652412,-.094,-.1,0.094,-.088,0,0.088,-.088,.01,0.088,0.0191,,,.019,,,0.2481,0.4225,0.7503,.248,.423,.75
31,489,11.901335273,-.095,.01,0.095,-.088,0,0.088,-.088,0,0.088,0.0250,,,.025,,,0.7541,0.9670,0.9932,.754,.967,.993
32,488,-16.98037114,-.095,0,0.095,-.088,.01,0.088,-.088,0,0.088,0.0314,,,.031,,,0.6550,0.8546,0.7857,.655,.855,.786
33,487,-12.68663839,-.095,0,0.095,-.088,0,0.088,-.088,.03,0.088,0.0399,,,.040,,,0.7386,0.3019,0.4582,.739,.302,.458
34,486,35.139517857,-.095,.04,0.095,-.088,.04,0.088,-.088,0,0.088,0.0412,,,.041,,,0.3554,0.4037,0.3197,.355,.404,.32
35,485,-53.86024139,-.095,-.1,0.095,-.088,-.1,0.088,-.088,.04,0.088,0.0313,,,.031,,,0.1573,0.2438,0.3749,.157,.244,.375
36,484,26.504250071,-.095,.03,0.095,-.088,.03,0.088,-.088,0,0.088,0.0357,,,.036,,,0.4882,0.5055,0.6767,.488,.505,.677
37,483,-15.05975675,-.095,0,0.095,-.088,.01,0.088,-.088,.01,0.088,0.0440,,,.044,,,0.6939,0.8742,0.8423,.694,.874,.842
38,482,-81.71981941,-.095,-.1,0.095,-.088,-.1,0.088,-.088,.09,0.088,0.0167,,,.017,,,0.0328,0.0481,0.0422,.033,.048,.042
39,481,6.0527055756,-.096,.01,0.096,-.088,0,0.088,-.088,0,0.088,0.0217,,,.022,,,0.8754,0.9248,0.9974,.875,.925,.997
40,480,62.105234998,-.096,.08,0.096,-.088,.05,0.088,-.088,0,0.088,0.0137,,,.014,,,0.1078,0.2440,0.3865,.108,.244,.387
41,479,-44.7731084,-.097,-.1,0.097,-.088,0,0.088,-.088,.04,0.088,0.0122,,,.012,,,0.2486,0.2693,0.3437,.249,.269,.344
42,478,17.663652898,-.097,.02,0.097,-.088,0,0.088,-.088,.02,0.088,0.0151,,,.015,,,0.6498,0.9141,0.6724,.65,.914,.672
43,477,-38.21050532,-.097,0,0.097,-.088,0,0.088,-.088,.02,0.088,0.0150,,,.015,,,0.3262,0.3798,0.5847,.326,.38,.585
44,476,1.3874089728,-.097,0,0.097,-.088,.03,0.088,-.088,0,0.088,0.0194,,,.019,,,0.9716,0.4329,0.3931,.972,.433,.393
45,475,48.855151377,-.097,.06,0.097,-.088,.04,0.088,-.088,0,0.088,0.0162,,,.016,,,0.2102,0.4137,0.8262,.21,.414,.826
46,474,-34.12788107,-.097,0,0.097,-.088,0,0.088,-.088,.01,0.088,0.0168,,,.017,,,0.3829,0.7673,0.8612,.383,.767,.861
47,473,-1.035787296,-.098,0,0.098,-.088,.01,0.088,-.088,.01,0.088,0.0215,,,.021,,,0.9789,0.9029,0.8465,.979,.903,.846
48,472,70.322721189,-.098,.09,0.098,-.088,.05,0.088,-.088,0,0.088,0.0113,,,.011,,,0.0726,0.2732,0.4864,.073,.273,.486
49,471,7.4596563971,-.098,.01,0.098,-.088,.04,0.088,-.088,0,0.088,0.0144,,,.014,,,0.8499,0.3210,0.3967,.85,.321,.397
50,470,65.594294481,-.098,.08,0.098,-.088,.08,0.088,-.088,-.1,0.088,0.0084,,,.008,,,0.0961,0.0762,0.1251,.096,.076,.125
51,469,16.479363589,-.099,.02,0.099,-.088,.04,0.088,-.088,0,0.088,0.0103,,,.010,,,0.6775,0.3838,0.5990,.677,.384,.599
52,468,-28.60379982,-.099,0,0.099,-.088,0,0.088,-.088,.03,0.088,0.0114,,,.011,,,0.4705,0.3742,0.5052,.471,.374,.505
53,467,95.571017758,-.099,.12,0.099,-.088,0.1,0.088,-.088,-.1,0.088,0.0026,,,.003,,,0.0160,0.0190,0.0372,.016,.019,.037
